Age,Bodymass,Height,Education,Martial_Status,Occupation,Race,Sex,Hours_per_week,Country,Target
33,48.05,165.02, HS-grad, Never-married, Machine-op-inspct, White, Female,40.0, United-States, <=50K.
47,58.93,187.89, HS-grad, Divorced, Adm-clerical, White, Female,40.0, United-States, <=50K.
41,89.52,187.05, Bachelors, Never-married, Other-service, White, Female,40.0,, <=50K.
41,77.86,170.03, Assoc-acdm, Married-civ-spouse, Craft-repair, White, Male,60.0, United-States, >50K.
19,81.44,174.35, Some-college, Never-married, Other-service, White, Male,20.0, United-States, <=50K.
46,102.87,140.61, HS-grad, Separated, Transport-moving, White, Male,40.0, United-States, <=50K.
43,95.97,141.3, HS-grad, Married-civ-spouse, Sales, White, Male,48.0, United-States, <=50K.
55,53.36,187.0, Some-college, Married-civ-spouse, Exec-managerial, White, Male,45.0, United-States, >50K.
46,76.59,154.29, Assoc-voc, Married-civ-spouse, Tech-support, White, Male,40.0, United-States, <=50K.
30,98.5,159.12, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, Mexico, <=50K.
21,48.7,134.8, Some-college, Separated, Handlers-cleaners, White, Female,40.0, United-States, <=50K.
46,54.92,171.47, Some-college, Married-civ-spouse, Craft-repair, Other, Male,40.0, Dominican-Republic, <=50K.
17,61.51,141.48, 10th, Never-married,, White, Male,40.0, United-States, <=50K.
41,105.78,169.06, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,50.0, United-States, <=50K.
69,104.16,145.74, HS-grad, Married-civ-spouse, Sales, White, Male,30.0, United-States, <=50K.
50,87.16,170.59, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40.0, United-States, <=50K.
20,71.9,146.04, Some-college, Never-married, Adm-clerical, White, Female,40.0, United-States, <=50K.
45,91.98,186.49, Some-college, Married-civ-spouse, Machine-op-inspct, White, Male,50.0, United-States, <=50K.
23,50.69,182.84, Bachelors, Never-married, Exec-managerial, White, Male,40.0, United-States, <=50K.
24,52.38,140.72, Some-college, Separated, Other-service, White, Male,40.0, United-States, <=50K.
44,51.99,160.89, HS-grad, Married-civ-spouse, Craft-repair, White, Male,50.0,, >50K.
31,93.55,168.93, Some-college, Married-civ-spouse, Craft-repair, White, Male,50.0, United-States, <=50K.
43,62.27,159.25, HS-grad, Separated, Machine-op-inspct, White, Female,44.0, United-States, <=50K.
20,69.67,189.37, 11th, Never-married, Other-service, White, Female,10.0, United-States, <=50K.
55,68.26,179.62, HS-grad, Married-civ-spouse, Sales, White, Male,56.0, United-States, >50K.
24,100.27,133.56, Some-college, Never-married, Armed-Forces, White, Male,40.0, United-States, <=50K.
41,46.16,147.7, Masters, Married-civ-spouse,, White, Female,10.0, United-States, >50K.
59,62.92,185.82, Bachelors, Never-married, Exec-managerial, White, Female,25.0, United-States, <=50K.
49,108.23,155.58, 7th-8th, Never-married, Other-service, Black, Male,20.0, United-States, <=50K.
33,99.09,158.09, Masters, Married-civ-spouse, Prof-specialty, White, Female,10.0, United-States, >50K.
59,87.98,164.05, Bachelors, Divorced, Adm-clerical, White, Male,40.0, United-States, <=50K.
34,99.88,145.73, Masters, Never-married, Other-service, Amer-Indian-Eskimo, Male,40.0, United-States, <=50K.
20,52.56,141.27, HS-grad, Never-married, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
25,101.81,149.42, Bachelors, Never-married, Exec-managerial, White, Female,40.0, United-States, <=50K.
49,99.52,181.1, 10th, Married-civ-spouse, Farming-fishing, White, Male,40.0, United-States, <=50K.
59,87.73,161.59, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40.0, United-States, >50K.
20,107.6,143.27, HS-grad, Never-married, Adm-clerical, White, Female,40.0, United-States, <=50K.
51,78.7,133.56, Some-college, Married-civ-spouse,, White, Female,18.0, United-States, <=50K.
33,60.16,181.17, Some-college, Never-married, Adm-clerical, Black, Female,35.0, United-States, <=50K.
22,98.09,150.11, Some-college, Never-married, Transport-moving, Black, Male,39.0, United-States, <=50K.
58,48.43,153.35, 9th, Widowed, Other-service, White, Female,40.0, United-States, <=50K.
52,107.13,189.89, HS-grad, Widowed, Adm-clerical, White, Female,28.0, United-States, <=50K.
36,77.86,149.74, 10th, Separated, Machine-op-inspct, White, Female,40.0, United-States, <=50K.
41,45.76,134.1, HS-grad, Married-civ-spouse, Protective-serv, White, Male,40.0, United-States, <=50K.
28,52.56,184.67, HS-grad, Never-married, Transport-moving, White, Male,40.0, United-States, <=50K.
19,115.75,173.15, Some-college, Never-married, Handlers-cleaners, Black, Male,16.0, United-States, <=50K.
18,63.35,146.64, HS-grad, Never-married, Other-service, White, Female,28.0, United-States, <=50K.
18,106.55,180.05, HS-grad, Never-married, Machine-op-inspct, White, Female,48.0, United-States, <=50K.
28,56.64,161.73, Some-college, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, <=50K.
29,56.56,180.35, Assoc-voc, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, >50K.
20,106.54,146.66, HS-grad, Never-married,, White, Female,20.0, United-States, <=50K.
40,58.79,148.43, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
26,104.95,135.76, HS-grad, Never-married, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
46,96.41,138.77, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, <=50K.
23,61.88,159.99, 11th, Never-married, Other-service, White, Female,24.0, United-States, <=50K.
44,53.17,190.06, HS-grad, Married-spouse-absent, Adm-clerical, White, Female,40.0, United-States, <=50K.
43,63.76,188.28, Bachelors, Divorced, Sales, White, Female,40.0, United-States, >50K.
31,106.49,150.03, Bachelors, Divorced, Prof-specialty, White, Female,60.0, United-States, <=50K.
18,97.71,164.18, Some-college, Never-married, Sales, White, Female,25.0, United-States, <=50K.
19,109.37,134.54, Some-college, Never-married, Protective-serv, White, Male,30.0, United-States, <=50K.
41,105.95,152.9, Some-college, Divorced, Tech-support, White, Female,40.0, United-States, <=50K.
41,86.28,175.68, HS-grad, Divorced, Handlers-cleaners, White, Female,40.0, United-States, <=50K.
69,59.01,148.06, HS-grad, Divorced, Adm-clerical, White, Female,25.0, United-States, <=50K.
48,113.78,190.12, Doctorate, Married-civ-spouse, Prof-specialty, White, Female,40.0, United-States, >50K.
28,84.18,192.76, HS-grad, Never-married, Prof-specialty, White, Male,40.0, United-States, <=50K.
27,66.33,162.98, HS-grad, Married-civ-spouse, Craft-repair, White, Male,60.0, Ireland, >50K.
41,61.21,138.43, Masters, Married-civ-spouse, Prof-specialty, White, Male,50.0, United-States, >50K.
41,68.12,181.08, Some-college, Married-civ-spouse, Adm-clerical, White, Male,40.0, United-States, <=50K.
24,72.95,192.09, HS-grad, Never-married, Craft-repair, Black, Female,40.0, United-States, <=50K.
20,51.7,140.65, HS-grad, Never-married,, White, Female,40.0, United-States, <=50K.
42,92.65,164.13, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,41.0, United-States, >50K.
57,93.17,155.3, HS-grad, Married-civ-spouse, Craft-repair, Black, Male,48.0, United-States, <=50K.
30,56.22,157.68, Assoc-acdm, Never-married, Prof-specialty, White, Female,40.0, United-States, <=50K.
36,57.95,157.45, HS-grad, Married-civ-spouse, Sales, White, Male,60.0, United-States, >50K.
49,108.34,138.89, 7th-8th, Married-civ-spouse, Machine-op-inspct, Black, Male,40.0, United-States, <=50K.
33,114.74,189.79, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female,35.0, United-States, <=50K.
23,92.14,191.93, 10th, Married-civ-spouse, Farming-fishing, White, Male,40.0, United-States, <=50K.
46,73.55,169.7, Masters, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, <=50K.
18,96.13,186.95, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female,22.0, Germany, <=50K.
40,113.08,152.71, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,55.0, United-States, >50K.
43,55.99,173.11, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,45.0, United-States, >50K.
34,48.98,171.73, Masters, Never-married, Prof-specialty, White, Female,30.0, United-States, <=50K.
47,106.23,151.31, HS-grad, Widowed, Exec-managerial, White, Female,30.0, United-States, <=50K.
44,94.64,158.64, Assoc-voc, Widowed, Exec-managerial, White, Female,30.0, United-States, <=50K.
33,94.62,156.27, HS-grad, Married-civ-spouse, Sales, White, Male,40.0, United-States, >50K.
55,76.34,146.66, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,50.0, United-States, >50K.
19,62.39,150.42, HS-grad, Never-married, Sales, White, Male,30.0, United-States, <=50K.
28,68.57,147.63, Some-college, Never-married, Other-service, Black, Male,14.0, United-States, <=50K.
27,88.84,190.58, 11th, Married-civ-spouse, Other-service, Black, Female,32.0, United-States, <=50K.
50,110.45,142.64, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Male,20.0, United-States, <=50K.
22,97.89,157.57, 11th, Never-married, Craft-repair, White, Male,40.0, United-States, <=50K.
40,95.09,177.72, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,45.0, United-States, >50K.
25,64.68,146.74, Some-college, Never-married, Adm-clerical, White, Female,40.0, United-States, <=50K.
26,84.44,170.99, HS-grad, Never-married, Craft-repair, White, Male,40.0, United-States, <=50K.
22,56.7,167.92, Bachelors, Never-married, Sales, White, Male,25.0, United-States, <=50K.
42,89.05,152.04, Some-college, Never-married, Handlers-cleaners, Black, Female,40.0, United-States, <=50K.
38,82.59,154.73, Bachelors, Divorced, Exec-managerial, White, Male,40.0, United-States, <=50K.
55,61.88,188.91, 11th, Married-civ-spouse, Other-service, White, Male,30.0, United-States, <=50K.
32,112.58,191.04, HS-grad, Married-civ-spouse, Sales, White, Male,40.0, United-States, <=50K.
22,56.7,161.07, HS-grad, Married-civ-spouse, Craft-repair, White, Male,45.0, United-States, <=50K.
29,64.48,178.24, Bachelors, Never-married, Sales, White, Male,40.0, United-States, <=50K.
46,72.59,159.88, Masters, Married-civ-spouse, Exec-managerial, White, Male,45.0, United-States, >50K.
31,96.08,167.02, Some-college, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, >50K.
58,65.0,160.86, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,16.0, United-States, >50K.
42,83.78,186.01, HS-grad, Married-civ-spouse, Craft-repair, White, Male,45.0, United-States, <=50K.
18,82.82,183.18, HS-grad, Never-married, Handlers-cleaners, White, Male,25.0, United-States, <=50K.
58,57.99,165.75, HS-grad, Divorced, Exec-managerial, White, Male,33.0, United-States, <=50K.
54,83.91,137.59, HS-grad, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, >50K.
34,104.62,180.93, Masters, Never-married, Prof-specialty, White, Male,40.0, United-States, <=50K.
26,80.78,169.66, Bachelors, Never-married, Adm-clerical, White, Female,40.0, United-States, <=50K.
61,85.62,179.34, 12th, Married-civ-spouse, Exec-managerial, White, Male,60.0, United-States, <=50K.
48,109.79,180.86, Masters, Separated, Adm-clerical, Black, Female,40.0, United-States, <=50K.
36,113.4,181.68, Some-college, Married-civ-spouse, Exec-managerial, White, Male,45.0, United-States, >50K.
24,81.99,179.82, Assoc-voc, Married-civ-spouse, Machine-op-inspct, White, Male,45.0, United-States, <=50K.
40,76.03,173.69, Some-college, Married-civ-spouse, Machine-op-inspct, White, Male,37.0, United-States, <=50K.
33,59.55,152.2, HS-grad, Married-civ-spouse, Sales, White, Male,50.0, United-States, >50K.
37,90.52,169.72, Some-college, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, >50K.
34,46.36,179.14, Masters, Never-married, Exec-managerial, White, Male,40.0, United-States, <=50K.
56,50.55,169.95, Some-college, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, >50K.
28,102.13,185.17, HS-grad, Married-civ-spouse,, White, Female,38.0, United-States, >50K.
37,71.59,138.72, Bachelors, Widowed, Exec-managerial, White, Female,55.0, United-States, <=50K.
44,53.53,187.7, HS-grad, Divorced, Sales, Black, Female,40.0, United-States, <=50K.
64,115.48,189.99, Some-college, Married-civ-spouse,, White, Male,8.0, United-States, <=50K.
54,99.46,149.5, HS-grad, Divorced, Handlers-cleaners, White, Male,45.0, United-States, <=50K.
23,101.77,173.68, HS-grad, Never-married, Machine-op-inspct, White, Male,50.0, United-States, <=50K.
34,53.65,158.85, Bachelors, Married-spouse-absent, Farming-fishing, Black, Male,40.0,, <=50K.
22,79.93,165.12, HS-grad, Never-married, Other-service, White, Female,45.0, United-States, <=50K.
33,109.95,187.25, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, >50K.
39,84.09,164.87, Bachelors, Separated, Prof-specialty, White, Male,50.0, United-States, >50K.
47,50.3,167.86, Some-college, Divorced, Adm-clerical, Black, Female,37.0, United-States, <=50K.
79,85.42,133.98, 7th-8th, Widowed,, White, Male,40.0, United-States, <=50K.
26,106.6,174.26, HS-grad, Never-married, Prof-specialty, Black, Female,55.0, United-States, <=50K.
31,80.75,141.85, Some-college, Divorced, Exec-managerial, White, Female,40.0, United-States, <=50K.
44,113.51,178.59, Some-college, Never-married, Transport-moving, White, Male,45.0, United-States, <=50K.
42,50.4,174.14, Prof-school, Married-civ-spouse, Prof-specialty, White, Female,50.0, United-States, >50K.
19,84.25,183.35, HS-grad, Never-married, Machine-op-inspct, White, Female,40.0, United-States, <=50K.
27,72.84,142.73, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, >50K.
51,46.03,155.03, Some-college, Married-civ-spouse, Protective-serv, White, Male,40.0, United-States, >50K.
28,86.48,147.11, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,50.0, United-States, <=50K.
57,111.63,190.28, Bachelors, Divorced, Craft-repair, White, Male,45.0, United-States, <=50K.
45,73.59,162.15, Bachelors, Divorced, Prof-specialty, White, Female,40.0, United-States, <=50K.
50,60.85,146.09, Assoc-voc, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, >50K.
34,47.93,136.5, Bachelors, Married-civ-spouse, Sales, White, Male,54.0, United-States, <=50K.
45,60.63,158.89, 7th-8th, Married-civ-spouse, Craft-repair, Black, Male,40.0, United-States, <=50K.
73,53.73,160.84, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,20.0, United-States, <=50K.
34,47.94,179.07, Bachelors, Married-civ-spouse, Prof-specialty, White, Female,50.0, United-States, >50K.
31,64.78,162.6, Some-college, Married-civ-spouse, Sales, White, Male,55.0, United-States, >50K.
19,101.55,183.83, 11th, Never-married, Sales, White, Male,12.0, United-States, <=50K.
25,70.95,155.12, Some-college, Never-married, Other-service, White, Female,50.0, United-States, <=50K.
38,84.78,180.19, Assoc-voc, Divorced, Craft-repair, White, Female,40.0, United-States, <=50K.
39,47.38,150.59, Bachelors, Married-civ-spouse, Transport-moving, White, Male,40.0, United-States, <=50K.
23,62.37,146.03, Bachelors, Never-married, Tech-support, Black, Female,32.0, United-States, <=50K.
49,114.19,183.0, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
33,72.73,142.73, HS-grad, Never-married, Other-service, White, Male,32.0, United-States, <=50K.
21,57.12,172.98, 5th-6th, Never-married, Machine-op-inspct, White, Male,38.0, Mexico, <=50K.
31,97.24,174.89, Assoc-voc, Separated, Craft-repair, White, Male,40.0, United-States, <=50K.
23,63.92,133.25, Bachelors, Never-married, Exec-managerial, White, Female,45.0, United-States, <=50K.
34,91.97,177.77, Bachelors, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Male,40.0, Philippines, <=50K.
25,66.99,157.94, HS-grad, Never-married, Machine-op-inspct, Asian-Pac-Islander, Female,40.0, Philippines, <=50K.
39,106.17,139.42, HS-grad, Never-married, Craft-repair, White, Male,40.0, United-States, <=50K.
52,88.21,160.66, HS-grad, Married-civ-spouse, Sales, White, Male,40.0, United-States, >50K.
63,59.57,172.68, 9th, Married-civ-spouse, Transport-moving, White, Male,40.0, United-States, >50K.
41,46.09,163.41, Some-college, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, <=50K.
46,66.92,138.54, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,38.0, United-States, >50K.
53,49.54,183.66, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40.0, United-States, <=50K.
25,78.22,137.56, 9th, Separated,, White, Female,40.0, United-States, <=50K.
77,89.76,142.99, Some-college, Married-civ-spouse,, White, Male,35.0, United-States, <=50K.
18,81.9,181.35, 12th, Never-married, Priv-house-serv, White, Male,40.0, United-States, <=50K.
38,106.27,150.32, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,50.0, United-States, <=50K.
55,106.38,147.97, Masters, Never-married, Exec-managerial, Asian-Pac-Islander, Female,50.0, Thailand, <=50K.
34,107.31,191.8, HS-grad, Married-civ-spouse, Tech-support, White, Male,40.0, United-States, >50K.
80,58.02,168.53, HS-grad, Married-civ-spouse, Other-service, White, Male,30.0, United-States, <=50K.
34,98.11,168.57, Assoc-voc, Divorced, Tech-support, White, Female,60.0, United-States, <=50K.
52,115.98,166.6, Some-college, Married-civ-spouse, Tech-support, White, Male,40.0, United-States, <=50K.
42,110.11,185.25, HS-grad, Never-married, Other-service, Black, Female,28.0, Haiti, <=50K.
26,52.98,155.13, Some-college, Never-married, Sales, White, Female,40.0, United-States, <=50K.
31,54.43,154.94, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40.0, United-States, <=50K.
25,80.82,146.68, HS-grad, Never-married, Other-service, White, Female,35.0, United-States, <=50K.
55,106.72,166.05, HS-grad, Married-civ-spouse, Craft-repair, White, Male,60.0, United-States, <=50K.
19,102.36,160.25, Some-college, Never-married, Other-service, White, Female,12.0, United-States, <=50K.
62,106.58,151.04, Some-college, Married-civ-spouse, Transport-moving, White, Male,32.0, United-States, <=50K.
22,102.03,133.73, Some-college, Never-married, Adm-clerical, White, Female,20.0, United-States, <=50K.
39,81.94,145.92, HS-grad, Married-civ-spouse,, White, Female,50.0, United-States, <=50K.
35,83.11,171.29, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, <=50K.
28,87.07,132.92, HS-grad, Married-civ-spouse, Sales, White, Female,40.0, United-States, <=50K.
47,84.48,157.31, HS-grad, Married-civ-spouse, Transport-moving, White, Male,70.0, United-States, >50K.
44,104.38,146.25, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40.0, United-States, <=50K.
21,73.23,139.03, Some-college, Never-married, Sales, White, Male,15.0, United-States, <=50K.
35,75.83,184.81, Assoc-voc, Never-married, Craft-repair, White, Male,50.0, United-States, <=50K.
24,81.61,134.34, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40.0, United-States, >50K.
42,79.56,189.16, Bachelors, Never-married, Prof-specialty, White, Male,40.0,, <=50K.
28,58.76,190.21, Bachelors, Never-married, Tech-support, White, Male,50.0, United-States, <=50K.
21,87.02,140.66, Some-college, Never-married, Machine-op-inspct, White, Male,35.0, United-States, <=50K.
62,79.49,177.35, Some-college, Divorced, Tech-support, Black, Male,40.0, United-States, <=50K.
39,78.35,183.11, HS-grad, Never-married, Other-service, Black, Female,40.0, United-States, <=50K.
30,90.54,174.73, HS-grad, Never-married, Other-service, White, Male,40.0, United-States, <=50K.
72,57.26,133.34, Prof-school, Never-married, Prof-specialty, White, Male,20.0, United-States, <=50K.
50,62.21,161.21, Some-college, Married-civ-spouse, Exec-managerial, White, Female,50.0, United-States, <=50K.
28,94.84,134.13, Masters, Never-married, Prof-specialty, White, Male,40.0, United-States, <=50K.
29,103.23,134.2, Some-college, Never-married, Prof-specialty, White, Female,40.0, United-States, <=50K.
26,95.86,137.19, Bachelors, Never-married, Adm-clerical, White, Female,40.0, United-States, <=50K.
27,78.96,160.46, Masters, Never-married, Exec-managerial, White, Female,40.0, United-States, <=50K.
29,45.59,144.51, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male,40.0, United-States, >50K.
61,46.41,162.73, HS-grad, Married-civ-spouse,, White, Male,40.0, United-States, <=50K.
29,67.08,138.87, 10th, Married-civ-spouse, Craft-repair, White, Male,25.0, United-States, <=50K.
21,85.38,149.21, Some-college, Never-married,, White, Female,30.0, United-States, <=50K.
31,74.24,160.91, 11th, Married-civ-spouse, Sales, White, Female,20.0, United-States, <=50K.
25,94.92,166.89, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,75.0, United-States, <=50K.
58,48.34,191.5, 10th, Married-civ-spouse, Transport-moving, White, Male,40.0, United-States, >50K.
64,76.44,167.65, Some-college, Married-civ-spouse, Exec-managerial, White, Female,40.0, United-States, >50K.
46,47.72,165.33, Masters, Never-married, Exec-managerial, White, Male,38.0, United-States, <=50K.
53,52.4,157.44, HS-grad, Married-civ-spouse,, White, Male,35.0, United-States, >50K.
19,60.92,154.75, HS-grad, Never-married, Other-service, Amer-Indian-Eskimo, Female,35.0, United-States, <=50K.
42,51.82,166.86, HS-grad, Divorced, Other-service, Black, Male,52.0, United-States, <=50K.
18,64.28,151.89, 11th, Never-married, Handlers-cleaners, White, Male,24.0, United-States, <=50K.
58,92.34,183.37, Bachelors, Married-civ-spouse, Craft-repair, White, Male,50.0, United-States, >50K.
20,62.21,163.8, Some-college, Never-married, Protective-serv, Black, Male,60.0, United-States, <=50K.
35,106.52,140.21, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40.0, United-States, >50K.
32,84.28,192.11, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,38.0, United-States, >50K.
